date	attachment	count
201502	116898	1
201502	116899	2
201502	117799	55
201502	117800	16
201502	118028	4
201502	118029	3
201502	118030	2
201502	118031	3
201502	118032	5
201502	118049	4
201502	118050	11
201502	118057	8
201502	118140	100
201502	118396	22
201502	118413	12
201502	118414	2
201502	119073	3
201502	119074	2
201502	119151	1
201502	136798	4
201502	136805	5
201502	136816	2
201502	136822	3
201502	136829	357
201502	136830	262
201502	136835	7
201502	136838	11
201502	144112	1
201502	148045	14
201502	148050	14
201502	14854	28
201502	153662	196
201502	153733	3
201502	153734	1
201502	153753	254
201502	153760	7
201502	153761	2
201502	16573	9
201502	166426	2
201502	172893	47
201502	181784	5
201502	181801	5
201502	182680	32
201502	183185	3271
201502	183201	299
201502	184172	6
201502	184723	39
201502	184729	294
201502	184750	7
201502	184774	46
201502	184931	365
201502	184932	28
201502	185627	4
201502	186852	8
201502	186853	2
201502	189949	9
201502	190612	7
201502	190989	1403
201502	191011	3
201502	191029	104
201502	191481	12
201502	191482	39
201502	191974	1
201502	192249	85
201502	192250	55
201502	192282	31
201502	192312	12
201502	192450	161
201502	192451	50
201502	192452	19
201502	192453	70
201502	192514	36
201502	192538	48
201502	193122	91
201502	193124	54
201502	193125	45
201502	193157	4
201502	193158	6
201502	193483	2693
201502	193725	3
201502	193772	46
201502	194120	7
201502	197066	3
201502	197156	17
201502	197226	7
201502	197865	6
201502	197956	5
201502	198314	3
201502	198592	4
201502	198611	3
201502	198612	3
201502	198613	3
201502	198634	3
201502	198635	3
201502	199039	5
201502	199041	6
201502	199042	5
201502	200274	31
201502	201123	2
201502	203154	23
201502	203411	1
201502	203434	2
201502	203435	1
201502	203436	1
201502	204071	51
201502	204072	41
201502	204073	11
201502	204074	17
201502	204075	11
201502	204314	118
201502	205200	9
201502	205201	11
201502	205202	76
201502	205203	2
201502	205207	4
201502	205208	2
201502	205886	19
201502	206341	8
201502	206536	41
201502	206549	65
201502	207192	12
201502	207389	12
201502	207643	3
201502	207728	8
201502	207864	3
201502	207865	11
201502	207867	3
201502	208604	8
201502	209578	3
201502	209582	3
201502	210215	299
201502	210223	57
201502	210243	453
201502	210245	212
201502	210300	6
201502	211667	6
201502	211909	23
201502	212812	2
201502	213078	9
201502	213286	175
201502	213906	1
201502	213980	18
201502	213981	28
201502	213987	2
201502	213989	15
201502	214160	7
201502	214242	5
201502	214243	1
201502	214247	1
201502	214280	1
201502	214318	5
201502	214319	108
201502	216035	5
201502	216817	21
201502	217006	2
201502	221758	25
201502	221759	14
201502	222508	363
201502	222509	620
201502	222510	511
201502	222544	4
201502	222545	4
201502	222546	3
201502	222564	51
201502	222565	17
201502	222588	14
201502	222589	8
201502	222592	2
201502	222616	3
201502	222617	6
201502	222618	29
201502	223487	95
201502	223657	22
201502	223658	6
201502	223659	11
201502	223660	16
201502	224814	19
201502	225603	5
201502	225606	5
201502	225774	9
201502	225775	4
201502	225970	3
201502	226124	10
201502	226928	37
201502	226929	8
201502	226930	7
201502	226931	12
201502	229563	6
201502	229565	3
201502	230059	49
201502	230115	5
201502	230291	131
201502	232020	13
201502	236764	95
201502	236774	75
201502	236781	16
201502	236825	124
201502	236826	33
201502	236830	118
201502	236831	80
201502	236833	26
201502	236834	57
201502	236835	21
201502	236836	3
201502	236847	466
201502	236850	186
201502	236851	14
201502	236852	19
201502	236853	36
201502	236985	31
201502	236987	4
201502	236994	7
201502	236995	3
201502	240448	4
201502	240449	1
201502	244014	156
201502	244016	176
201502	244185	4
201502	245086	4
201502	245231	80
201502	245534	266
201502	245675	96
201502	245676	23
201502	246001	9
201502	249101	1
201502	249104	4
201502	249141	2
201502	249164	2
201502	249231	1
201502	249232	1
201502	249257	1
201502	249336	7
201502	251299	12
201502	251339	108
201502	251912	9
201502	251964	123
201502	251965	270
201502	252413	80
201502	253122	19
201502	253123	3
201502	253124	5
201502	253351	95
201502	253451	14
201502	253458	281
201502	253924	17
201502	254455	18
201502	254551	30
201502	254682	7
201502	254697	5
201502	254703	2
201502	254716	6
201502	254880	2
201502	254949	8
201502	254964	20
201502	254965	44
201502	254966	4
201502	254967	20
201502	254968	4
201502	254969	3
201502	254977	50
201502	254978	8
201502	254979	13
201502	254985	11
201502	254987	6
201502	254988	1
201502	254990	2
201502	255028	14
201502	255091	25
201502	255095	1
201502	255096	23
201502	255106	28
201502	255108	38
201502	255671	29
201502	255774	18809
201502	255776	2843
201502	255918	12
201502	255920	3
201502	256036	36
201502	256038	19
201502	257106	62
201502	257108	5
201502	257109	3
201502	257113	54
201502	257114	109
201502	257121	29
201502	257281	70
201502	257295	6
201502	257308	14
201502	257313	12
201502	257315	14
201502	257317	31
201502	257785	5
201502	258881	5
201502	260371	6
201502	261050	20
201502	261051	13
201502	261052	2
201502	261076	18
201502	261210	47
201502	261392	1002
201502	261405	3657
201502	261406	209
201502	261407	482
201502	261408	319
201502	261418	626
201502	261419	425
201502	261420	292
201502	261434	460
201502	261439	1140
201502	261446	1644
201502	261448	796
201502	261453	108
201502	261498	526
201502	261500	159
201502	261507	261
201502	261537	69
201502	261539	29
201502	261540	43
201502	261543	35
201502	262302	15
201502	263798	4
201502	263963	8
201502	265781	9
201502	266506	135
201502	267323	45
201502	267328	40
201502	267383	46
201502	267912	3
201502	267980	11
201502	268587	4
201502	268757	4
201502	269599	47
201502	270197	4285
201502	270198	233
201502	270201	100
201502	270381	1
201502	270386	2
201502	270484	7788
201502	270487	1
201502	270530	3056
201502	270659	74
201502	270660	33
201502	270678	8
201502	270679	4
201502	270680	3
201502	270966	351
201502	271328	46
201502	271457	35
201502	271463	56
201502	271800	16
201502	273953	38
201502	273962	1
201502	274029	8344
201502	274263	1
201502	27455	2
201502	275035	13
201502	275236	1
201502	275281	4
201502	275282	2
201502	275454	673
201502	275895	8
201502	275925	12
201502	276024	23
201502	276121	10
201502	276122	10
201502	276123	7
201502	276172	8
201502	276192	4
201502	276199	12
201502	276200	9
201502	276795	4
201502	276796	4
201502	277136	6
201502	277141	3
201502	277195	1
201502	277196	1
201502	27752	19
201502	277878	2
201502	277881	3
201502	277882	3
201502	277883	1
201502	277961	1468
201502	278659	90
201502	278676	89
201502	278783	268
201502	278983	9
201502	278997	1
201502	279392	13
201502	279401	146
201502	279403	378
201502	279412	38
201502	279417	87
201502	279418	201
201502	27981	11
201502	28018	1
201502	281006	1
201502	281024	2
201502	281201	59
201502	281223	18
201502	281243	13
201502	281246	15
201502	281248	13
201502	281267	5
201502	281339	1
201502	282196	136
201502	28267	13
201502	28268	17
201502	28269	17
201502	282746	8
201502	283274	1163
201502	283524	22
201502	283606	12
201502	283633	78
201502	283638	4
201502	283647	10
201502	28378	9
201502	28379	4
201502	28396	4
201502	28397	1
201502	28398	1
201502	284022	884
201502	284188	74
201502	284238	5
201502	284967	1
201502	28514	5
201502	28515	39
201502	28516	6
201502	28517	3
201502	28518	5
201502	28519	7
201502	28520	8
201502	28521	2
201502	28522	7
201502	28523	2
201502	28524	3
201502	28525	3
201502	28528	2
201502	285492	101
201502	285634	152
201502	286000	32
201502	286008	29
201502	286022	99
201502	286100	46
201502	286113	25
201502	286123	55
201502	286143	361
201502	286153	51
201502	286157	7
201502	286246	20
201502	286259	124
201502	286293	7
201502	286395	9
201502	286407	17
201502	286535	10
201502	286541	719
201502	286864	56
201502	286886	2375
201502	286894	145
201502	286923	104
201502	286936	134
201502	287369	5008
201502	287419	1
201502	287764	1
201502	287864	1498
201502	287907	1
201502	287954	521
201502	287957	56
201502	288033	82
201502	288083	267
201502	288177	7
201502	288178	6
201502	288462	1
201502	288472	1
201502	288473	1
201502	288477	1
201502	288855	20
201502	288867	13
201502	288871	1
201502	288876	40
201502	288879	19
201502	288919	4
201502	288928	3
201502	288944	2
201502	288949	123
201502	289099	3
201502	289492	1
201502	289507	358
201502	289508	110
201502	289509	6
201502	289736	58
201502	289741	6
201502	289744	1
201502	291276	51
201502	291879	207
201502	291896	25
201502	291914	11
201502	292465	6
201502	292515	10
201502	292522	56
201502	292533	42
201502	292534	41
201502	292641	92
201502	292667	2
201502	292695	1
201502	292703	1
201502	292710	45
201502	292733	2
201502	292745	110
201502	293022	8
201502	293050	1
201502	293070	2
201502	293097	17
201502	293240	1
201502	293298	99
201502	293306	24
201502	293337	2
201502	293373	36
201502	293385	3
201502	293474	4
201502	293495	18
201502	293536	5
201502	293652	9
201502	293653	7
201502	293757	33
201502	293863	247
201502	293874	6
201502	293877	1
201502	293936	14
201502	293939	1
201502	293940	2
201502	293972	2
201502	293979	3
201502	293981	2
201502	294011	17
201502	294015	58
201502	294021	4
201502	294022	6
201502	294023	2
201502	294257	13
201502	294366	31
201502	294511	2
201502	294657	1
201502	294943	9
201502	294944	7
201502	294949	5
201502	294953	4
201502	294970	7
201502	294981	30
201502	295085	5
201502	295087	2
201502	295732	2
201502	295800	17
201502	295830	240
201502	295844	515
201502	295892	36
201502	295914	39
201502	296038	2
201502	296097	196
201502	296109	25
201502	296114	18
201502	296373	30
201502	296384	190
201502	296502	274
201502	296513	19
201502	296514	7
201502	296515	6
201502	296516	6
201502	296518	8
201502	296520	4
201502	296521	14
201502	296522	4
201502	296523	5
201502	296524	3
201502	296525	10
201502	296526	8
201502	296551	22
201502	296552	5
201502	296562	7
201502	296563	19
201502	296732	25
201502	296733	13
201502	296734	18
201502	296740	71
201502	296847	2
201502	296848	9
201502	296868	1998
201502	296882	11
201502	296883	2
201502	296890	383
201502	296923	178
201502	296985	21
201502	297006	80
201502	297018	78
201502	297228	6
201502	297400	2
201502	297516	62
201502	297587	23
201502	297591	3
201502	297608	3
201502	297639	12
201502	297915	24
201502	297932	41
201502	297945	3
201502	297984	5
201502	297994	7
201502	298106	154
201502	298157	1
201502	298160	2
201502	298161	5
201502	298168	2
201502	298173	24
201502	298292	385
201502	298316	28
201502	298358	442
201502	298379	8
201502	298397	5
201502	298490	31
201502	298586	3
201502	298590	38
201502	298629	527
201502	298630	2
201502	298653	7
201502	298707	24
201502	298722	57
201502	298725	123
201502	298727	18
201502	298758	21
201502	298815	529
201502	298845	70
201502	298849	2
201502	298895	259
201502	298899	24
201502	298911	24
201502	298913	1
201502	299255	14
201502	299353	16
201502	299357	80
201502	299463	1
201502	299465	3
201502	299466	1
201502	299510	1
201502	299793	120
201502	299795	10
201502	299802	6
201502	299808	88
201502	299852	8
201502	299855	3
201502	299860	2
201502	299930	64
201502	299933	1
201502	299967	21
201502	300199	30
201502	300231	94
201502	300232	66
201502	300372	74
201502	300557	26
201502	300558	16
201502	300562	18
201502	300564	10
201502	300948	1934
201502	301263	11
201502	301268	23
201502	301297	19
201502	301532	782
201502	301555	96
201502	301561	146
201502	301620	97
201502	302024	2
201502	302241	114
201502	302281	1160
201502	302293	355
201502	302297	13
201502	302306	221
201502	302783	11
201502	303000	5
201502	303174	17
201502	303285	10
201502	303333	507
201502	303438	6
201502	303443	1
201502	303570	13
201502	303590	1
201502	303596	19
201502	303608	1
201502	303609	1
201502	303610	2
201502	303611	4
201502	303612	2
201502	303614	1
201502	303707	4
201502	303716	46
201502	303718	12
201502	303742	1
201502	303746	7
201502	303747	2
201502	303750	8
201502	303751	37
201502	303755	2
201502	303756	2
201502	303760	2
201502	303761	2
201502	303762	5
201502	303829	20
201502	303843	2
201502	303844	19
201502	303852	12
201502	303855	5
201502	303919	1
201502	304004	7
201502	304005	6
201502	304006	3
201502	304007	6
201502	304009	12
201502	304010	12
201502	304011	20
201502	304012	5
201502	304013	2
201502	304014	8
201502	304015	1
201502	304016	5
201502	304017	8
201502	304018	2
201502	304019	12
201502	304020	1
201502	304022	4
201502	304023	1
201502	304024	3
