attachment	tag
118396	FA054
197865	FA010
200274	FA028
213286	FA028
214242	FA170
222510	FA072
236831	FA191
236835	FA035
236836	FA156
236990	FA130
255671	FA042
261453	FA194
261498	GC110
263028	FA146
275454	FA045
277195	FA124
277196	FA124
277961	FA061
278659	FA079
283524	FA050
286153	FA034
286293	FA118
287907	FA154
294949	FA012
295830	FA099
296847	FA190
296848	FA190
297400	FA090
297639	FA063
298586	FA090
303333	FA063
304669	FA069
304699	FA145
304750	FA107
305931	GC039
306391	FA159
306393	FA159
306394	FA159
306469	FA040
306470	FA040
306471	FA040
306961	FA147
309060	FA119
315089	FA117
318615	FA076
318706	FA076
319976	FA125
325869	FA113
326818	FA032
333128	FA092
33459	FA160
33460	FA160
336946	FA167
340810	FA041
340934	FA052
342410	FA129
345723	FA188
345811	FA089
345813	FA089
345819	FA057
345821	FA057
345838	FA109
345839	FA109
345961	FA074
348355	FA079
348530	FA069
348531	FA069
348549	FA145
348550	FA145
348652	FA089
353963	FA086
353964	FA086
353965	FA086
354204	FA095
354342	FA085
354350	FA085
356101	FA141
357425	FA055
357426	FA055
358068	FA114
359075	FA137
361065	FA029
362005	FA029
363654	FA153
364486	FA121
366186	FA181
366691	FA155
367175	FA108
367212	FA048
367978	FA128
369195	FA109
369681	FA050
370232	FA123
370233	FA123
373615	FA144
373928	FA051
373990	FA080
374184	FA164
374394	FA143
375317	FA157
376002	FA075
376005	FA075
376165	FA184
376528	FA031
377240	FA095
377597	FA081
377598	FA081
383806	FA185
387282	FA168
396677	FA189
396718	FA127
396769	FA100
396904	FA009
397431	FA009
397970	FA140
398253	FA022
401264	FA166
401265	FA166
401667	FA068
406339	FA018
418297	FA037
418594	FA075
418595	FA075
420046	FA085
420047	FA085
420797	FA110
422146	FA070
424124	FA073
424125	FA073
424794	FA147
424795	FA147
426526	FA134
429503	FA100
429544	FA100
429603	FA173
430095	FA173
430155	FA187
437155	FA067
438033	FA015
438034	FA015
438035	FA015
438038	FA015
438039	FA015
438649	FA095
442288	FA174
444046	FA004
444456	FA030
444458	FA030
445206	FA014
448031	FA046
450892	FA028
452848	FA186
452850	FA186
452854	FA186
452855	FA186
452999	FA148
454272	FA186
454496	FA095
454798	FA084
455069	FA044
455070	FA044
455953	GC028
465182	FA038
465185	FA038
470121	FA149
470122	FA149
470527	FA149
471730	FA101
471861	FA142
471863	FA142
471878	FA019
471962	FA029
472113	FA115
472114	FA115
472135	FA115
476799	FA139
480823	FA116
481377	FA075
486868	FA106
487549	FA023
488195	FA061
489117	GC110
489873	FA039
489874	FA039
491113	FA023
491316	FA084
492041	FA152
492335	FA083
494604	FA029
